fastqs,sample,library_type
/beegfs/ttrinh/scatacseq/gex/00_fastq/,MAP17-cDNA-young,Gene Expression
/beegfs/ttrinh/scatacseq/atac/,ATAC-young,Chromatin Accessibility

